Índice,Fecha,Equipo Local,Resultado,Equipo Visitante,Marcador,Tipo,Cómo,Competición,Camiseta,Minuto,Video
451,06-05-2015,FC Barcelona,3-0,Bayern München,1-0,,Pie izquierdo,UEFA Champions League,10,77,
450,02-05-2015,Córdoba,0-8,FC Barcelona,0-6,Rebote,Pie izquierdo,La Liga,10,80,
449,02-05-2015,Córdoba,0-8,FC Barcelona,0-3,,Cabeza,La Liga,10,46,
448,28-04-2015,FC Barcelona,6-0,Getafe,6-0,Gol de campo,Pie izquierdo,La Liga,10,47,
447,28-04-2015,FC Barcelona,6-0,Getafe,1-0,Penal,Pie izquierdo,La Liga,10,9,
446,25-04-2015,Espanyol,0-2,FC Barcelona,0-2,,Pie izquierdo,La Liga,10,25,
445,18-04-2015,FC Barcelona,2-0,Valencia,2-0,Rebote,Pie izquierdo,La Liga,10,90+4,
444,11-04-2015,Sevilla,2-2,FC Barcelona,0-1,,Pie izquierdo,La Liga,10,14,
443,08-04-2015,FC Barcelona,4-0,UD Almería,1-0,Solo run,Pie izquierdo,La Liga,10,33,
442,14-03-2015,Eibar,0-2,FC Barcelona,0-2,,Cabeza,La Liga,10,55,
441,14-03-2015,Eibar,0-2,FC Barcelona,0-1,Penal,Pie izquierdo,La Liga,10,31,
440,08-03-2015,FC Barcelona,6-1,Rayo Vallecano,5-0,,Pie izquierdo,La Liga,10,68,
439,08-03-2015,FC Barcelona,6-1,Rayo Vallecano,4-0,Rebote,Pie izquierdo,La Liga,10,63,
438,08-03-2015,FC Barcelona,6-1,Rayo Vallecano,3-0,Penal,Pie izquierdo,La Liga,10,56,
437,28-02-2015,Granada,1-3,FC Barcelona,1-3,,Pie derecho,La Liga,10,70,
436,15-02-2015,FC Barcelona,5-0,Levante,4-0,Penal,Pie izquierdo,La Liga,10,65,
435,15-02-2015,FC Barcelona,5-0,Levante,3-0,Gol de campo,Pie derecho,La Liga,10,59,
434,15-02-2015,FC Barcelona,5-0,Levante,2-0,Gol de campo,Pie derecho,La Liga,10,38,
433,11-02-2015,FC Barcelona,3-1,Villarreal,1-0,,Pie izquierdo,Copa del Rey,10,41,
432,08-02-2015,Athletic de Bilbao,2-5,FC Barcelona,0-1,Tiro libre,Pie izquierdo,La Liga,10,15,
431,01-02-2015,FC Barcelona,3-2,Villarreal,3-2,Gol de campo,Pie derecho,La Liga,10,55,
430,24-01-2015,Elche,0-6,FC Barcelona,0-5,Gol de campo,Pie izquierdo,La Liga,10,88,
429,24-01-2015,Elche,0-6,FC Barcelona,0-2,Penal,Pie izquierdo,La Liga,10,55,
428,21-01-2015,FC Barcelona,1-0,Atlético Madrid,1-0,Rebote,Pie izquierdo,Copa del Rey,10,85,
427,18-01-2015,Deportivo La Coruña,0-4,FC Barcelona,0-3,Gol de campo,Pie izquierdo,La Liga,10,62,
426,18-01-2015,Deportivo La Coruña,0-4,FC Barcelona,0-2,Gol de campo,Pie izquierdo,La Liga,10,33,
425,18-01-2015,Deportivo La Coruña,0-4,FC Barcelona,0-1,Gol de campo,Cabeza,La Liga,10,10,
424,11-01-2015,FC Barcelona,3-1,Atlético Madrid,3-1,Gol de campo,Pie izquierdo,La Liga,10,87,
423,08-01-2015,FC Barcelona,5-0,Elche,3-0,Penal,Pie izquierdo,Copa del Rey,10,45,
422,20-12-2014,FC Barcelona,5-0,Córdoba,5-0,Gol de campo,Pie derecho,La Liga,10,90+1,
421,20-12-2014,FC Barcelona,5-0,Córdoba,4-0,Gol de campo,Pie derecho,La Liga,10,82,
420,10-12-2014,FC Barcelona,3-1,Paris Saint-Germain,1-1,,Pie derecho,UEFA Champions League,10,19,
419,07-12-2014,FC Barcelona,5-1,Espanyol,5-1,Gol de campo,Pie derecho,La Liga,10,81,
418,07-12-2014,FC Barcelona,5-1,Espanyol,2-1,Gol de campo,Pie derecho,La Liga,10,50,
417,07-12-2014,FC Barcelona,5-1,Espanyol,1-1,Gol de campo,Pie izquierdo,La Liga,10,45,
416,25-11-2014,APOEL FC,0-4,FC Barcelona,0-4,,Pie derecho,UEFA Champions League,10,87,
415,25-11-2014,APOEL FC,0-4,FC Barcelona,0-3,,Pie derecho,UEFA Champions League,10,58,
414,25-11-2014,APOEL FC,0-4,FC Barcelona,0-2,,Pie derecho,UEFA Champions League,10,38,
413,22-11-2014,FC Barcelona,5-1,Sevilla,5-1,Gol de campo,Pie izquierdo,La Liga,10,78,
412,22-11-2014,FC Barcelona,5-1,Sevilla,4-1,Gol de campo,Pie derecho,La Liga,10,72,
411,22-11-2014,FC Barcelona,5-1,Sevilla,1-0,Tiro libre,Pie izquierdo,La Liga,10,21,
410,12-11-2014,Argentina,2-1,Croatia,2-1,Penal,Pie izquierdo,Amistoso Internacional,10,57,
409,05-11-2014,Ajax,0-2,FC Barcelona,0-2,,Pie izquierdo,UEFA Champions League,10,76,
408,05-11-2014,Ajax,0-2,FC Barcelona,0-1,,Cabeza,UEFA Champions League,10,36,
407,21-10-2014,FC Barcelona,3-1,Ajax,2-0,,Pie izquierdo,UEFA Champions League,10,24,
406,18-10-2014,FC Barcelona,3-0,Eibar,3-0,Gol de campo,Pie izquierdo,La Liga,10,74,
405,14-10-2014,Hong Kong,0-7,Argentina,0-7,Solo run,Pie izquierdo,Amistoso Internacional,10,84,
404,14-10-2014,Hong Kong,0-7,Argentina,0-5,,Pie izquierdo,Amistoso Internacional,10,66,
403,04-10-2014,Rayo Vallecano,0-2,FC Barcelona,0-1,Gol de campo,Pie izquierdo,La Liga,10,35,
402,30-09-2014,Paris Saint-Germain,3-2,FC Barcelona,1-1,,Pie izquierdo,UEFA Champions League,10,11,
401,27-09-2014,FC Barcelona,6-0,Granada,6-0,Gol de campo,Pie derecho,La Liga,10,82,
400,27-09-2014,FC Barcelona,6-0,Granada,4-0,Gol de campo,Cabeza,La Liga,10,62,
399,21-09-2014,Levante,0-5,FC Barcelona,0-5,Gol de campo,Pie derecho,La Liga,10,77,
398,24-08-2014,FC Barcelona,3-0,Elche,3-0,Gol de campo,Pie izquierdo,La Liga,10,63,
397,24-08-2014,FC Barcelona,3-0,Elche,1-0,Gol de campo,Pie izquierdo,La Liga,10,42,
396,25-06-2014,Nigeria,2-3,Argentina,1-2,Tiro libre,Pie izquierdo,WCPWorld Cup 2014,10,45+1,
395,25-06-2014,Nigeria,2-3,Argentina,0-1,Rebote,Pie izquierdo,WCPWorld Cup 2014,10,3,
394,21-06-2014,Argentina,1-0,Iran,1-0,,Pie izquierdo,WCPWorld Cup 2014,10,90+1,
393,16-06-2014,Argentina,2-1,Bosnia-Herzegovina,2-0,Solo run,Pie izquierdo,WCPWorld Cup 2014,10,65,
392,07-06-2014,Argentina,2-0,Slovenia,2-0,Gol de campo,Pie izquierdo,Amistoso Internacional,10,75,
391,03-05-2014,FC Barcelona,2-2,Getafe,1-0,,Pie izquierdo,La Liga,10,23,
390,27-04-2014,Villarreal,2-3,FC Barcelona,2-3,,Pie derecho,La Liga,10,83,
389,20-04-2014,FC Barcelona,2-1,Athletic de Bilbao,2-1,Tiro libre,Pie izquierdo,La Liga,10,74,
388,05-04-2014,FC Barcelona,3-1,Real Betis,3-1,Rebote,Pie derecho,La Liga,10,86,
387,05-04-2014,FC Barcelona,3-1,Real Betis,1-0,Penal,Pie izquierdo,La Liga,10,15,
386,29-03-2014,Espanyol,0-1,FC Barcelona,0-1,Penal,Pie izquierdo,La Liga,10,77,
385,26-03-2014,FC Barcelona,3-0,Celta de Vigo,2-0,,Pie derecho,La Liga,10,30,
384,23-03-2014,Real Madrid,3-4,FC Barcelona,3-4,Penal,Pie izquierdo,La Liga,10,84,
383,23-03-2014,Real Madrid,3-4,FC Barcelona,3-3,Penal,Pie izquierdo,La Liga,10,65,
382,23-03-2014,Real Madrid,3-4,FC Barcelona,2-2,,Pie izquierdo,La Liga,10,42,
381,16-03-2014,FC Barcelona,7-0,Osasuna,6-0,,Pie derecho,La Liga,10,88,
380,16-03-2014,FC Barcelona,7-0,Osasuna,4-0,,Pie izquierdo,La Liga,10,63,
379,16-03-2014,FC Barcelona,7-0,Osasuna,1-0,,Pie izquierdo,La Liga,10,18,
378,12-03-2014,FC Barcelona,2-1,Manchester City,1-0,,Pie izquierdo,UEFA Champions League,10,67,
377,02-03-2014,FC Barcelona,4-1,UD Almería,2-0,Tiro libre,Pie izquierdo,La Liga,10,24,
376,22-02-2014,Real Sociedad,3-1,FC Barcelona,1-1,,Pie izquierdo,La Liga,10,36,
375,18-02-2014,Manchester City,0-2,FC Barcelona,0-1,Penal,Pie izquierdo,UEFA Champions League,10,54,
374,15-02-2014,FC Barcelona,6-0,Rayo Vallecano,5-0,,Pie izquierdo,La Liga,10,68,
373,15-02-2014,FC Barcelona,6-0,Rayo Vallecano,2-0,,Pie izquierdo,La Liga,10,36,
372,12-02-2014,Real Sociedad,1-1,FC Barcelona,0-1,Solo run,Pie izquierdo,Copa del Rey,10,27,
371,09-02-2014,Sevilla,1-4,FC Barcelona,1-3,Gol de campo,Pie izquierdo,La Liga,10,56,
370,09-02-2014,Sevilla,1-4,FC Barcelona,1-2,Gol de campo,Pie izquierdo,La Liga,10,44,
369,01-02-2014,FC Barcelona,2-3,Valencia,2-2,Penal,Pie izquierdo,La Liga,10,54,
368,16-01-2014,Getafe,0-2,FC Barcelona,0-2,Gol de campo,Pie izquierdo,Copa del Rey,10,63,
367,16-01-2014,Getafe,0-2,FC Barcelona,0-1,Gol de campo,Hip,Copa del Rey,10,44,
366,08-01-2014,FC Barcelona,4-0,Getafe,4-0,,Pie izquierdo,Copa del Rey,10,90+3,
365,08-01-2014,FC Barcelona,4-0,Getafe,3-0,,Pie izquierdo,Copa del Rey,10,90,
364,06-11-2013,FC Barcelona,3-1,AC Milan,3-1,,Pie izquierdo,UEFA Champions League,10,83,
363,06-11-2013,FC Barcelona,3-1,AC Milan,1-0,Penal,Pie izquierdo,UEFA Champions League,10,30,
362,22-10-2013,AC Milan,1-1,FC Barcelona,1-1,,Pie izquierdo,UEFA Champions League,10,23,
361,28-09-2013,UD Almería,0-2,FC Barcelona,0-1,,Pie izquierdo,La Liga,10,21,
360,24-09-2013,FC Barcelona,4-1,Real Sociedad,2-0,,Cabeza,La Liga,10,8,
359,18-09-2013,FC Barcelona,4-0,Ajax,4-0,,Pie izquierdo,UEFA Champions League,10,75,
358,18-09-2013,FC Barcelona,4-0,Ajax,2-0,,Pie izquierdo,UEFA Champions League,10,55,
357,18-09-2013,FC Barcelona,4-0,Ajax,1-0,Tiro libre,Pie izquierdo,UEFA Champions League,10,22,
356,14-09-2013,FC Barcelona,3-2,Sevilla,2-0,,Pie izquierdo,La Liga,10,75,
355,11-09-2013,Paraguay,2-5,Argentina,1-4,Penal,Pie izquierdo,WCQWorld Cup 2014 Qualification,10,52,
354,11-09-2013,Paraguay,2-5,Argentina,0-1,Penal,Pie izquierdo,WCQWorld Cup 2014 Qualification,10,12,
353,01-09-2013,Valencia,2-3,FC Barcelona,0-3,,Pie izquierdo,La Liga,10,41,
352,01-09-2013,Valencia,2-3,FC Barcelona,0-2,,Pie derecho,La Liga,10,39,
