Índice,Fecha,Equipo Local,Resultado,Equipo Visitante,Marcador,Tipo,Cómo,Competición,Camiseta,Minuto,Video
260,03-04-2012,FC Barcelona,3-1,AC Milan,2-1,Penal,Pie izquierdo,UEFA Champions League,10,41,
259,03-04-2012,FC Barcelona,3-1,AC Milan,1-0,Penal,Pie izquierdo,UEFA Champions League,10,11,
258,31-03-2012,FC Barcelona,2-0,Athletic de Bilbao,2-0,Penal,Pie izquierdo,La Liga,10,58,
257,24-03-2012,Real Mallorca,0-2,FC Barcelona,0-1,Tiro libre,Pie izquierdo,La Liga,10,25,
256,20-03-2012,FC Barcelona,5-3,Granada,5-2,Gol de campo,Pie izquierdo,La Liga,10,86,
255,20-03-2012,FC Barcelona,5-3,Granada,3-2,Gol de campo,Pie izquierdo,La Liga,10,67,
254,20-03-2012,FC Barcelona,5-3,Granada,2-0,Gol de campo,Pie izquierdo,La Liga,10,17,
253,17-03-2012,Sevilla,0-2,FC Barcelona,0-2,,Pie izquierdo,La Liga,10,25,
252,11-03-2012,Racing Santander,0-2,FC Barcelona,0-2,Penal,Pie izquierdo,La Liga,10,56,
251,11-03-2012,Racing Santander,0-2,FC Barcelona,0-1,,Pie izquierdo,La Liga,10,29,
250,07-03-2012,FC Barcelona,7-1,Bayer Leverkusen,7-0,,Pie izquierdo,UEFA Champions League,10,84,
249,07-03-2012,FC Barcelona,7-1,Bayer Leverkusen,5-0,Rebote,Pie izquierdo,UEFA Champions League,10,58,
248,07-03-2012,FC Barcelona,7-1,Bayer Leverkusen,3-0,,Pie derecho,UEFA Champions League,10,49,
247,07-03-2012,FC Barcelona,7-1,Bayer Leverkusen,2-0,,Pie izquierdo,UEFA Champions League,10,42,
246,07-03-2012,FC Barcelona,7-1,Bayer Leverkusen,1-0,,Pie izquierdo,UEFA Champions League,10,25,
245,29-02-2012,Switzerland,1-3,Argentina,1-3,Penal,Pie izquierdo,Amistoso Internacional,10,90+3,
244,29-02-2012,Switzerland,1-3,Argentina,1-2,,Pie izquierdo,Amistoso Internacional,10,88,
243,29-02-2012,Switzerland,1-3,Argentina,0-1,,Pie izquierdo,Amistoso Internacional,10,20,
242,26-02-2012,Atlético Madrid,1-2,FC Barcelona,1-2,Tiro libre,Pie izquierdo,La Liga,10,81,
241,19-02-2012,FC Barcelona,5-1,Valencia,4-1,,Pie izquierdo,La Liga,10,85,
240,19-02-2012,FC Barcelona,5-1,Valencia,3-1,Rebote,Pie izquierdo,La Liga,10,76,
239,19-02-2012,FC Barcelona,5-1,Valencia,2-1,Rebote,Pie izquierdo,La Liga,10,27,
238,19-02-2012,FC Barcelona,5-1,Valencia,1-1,,Pie izquierdo,La Liga,10,22,
237,14-02-2012,Bayer Leverkusen,1-3,FC Barcelona,1-3,Gol de campo,Pie izquierdo,UEFA Champions League,10,88,
236,04-02-2012,FC Barcelona,2-1,Real Sociedad,2-0,,Pie izquierdo,La Liga,10,72,
235,22-01-2012,Málaga,1-4,FC Barcelona,0-4,,Pie izquierdo,La Liga,10,81,
234,22-01-2012,Málaga,1-4,FC Barcelona,0-3,,Pie izquierdo,La Liga,10,51,
233,22-01-2012,Málaga,1-4,FC Barcelona,0-1,,Cabeza,La Liga,10,33,
232,15-01-2012,FC Barcelona,4-2,Real Betis,4-2,Penal,Pie izquierdo,La Liga,10,86,
231,15-01-2012,FC Barcelona,4-2,Real Betis,2-0,,Pie izquierdo,La Liga,10,12,
230,04-01-2012,FC Barcelona,4-0,Osasuna,4-0,,Pie izquierdo,Copa del Rey,10,90+2,
229,04-01-2012,FC Barcelona,4-0,Osasuna,3-0,,Cabeza,Copa del Rey,10,73,
228,18-12-2011,Santos,0-4,FC Barcelona,0-4,,Pie izquierdo,WCTFIFA Club World Cup,10,82,
227,18-12-2011,Santos,0-4,FC Barcelona,0-1,,Pie izquierdo,WCTFIFA Club World Cup,10,17,
226,03-12-2011,FC Barcelona,5-0,Levante,4-0,,Pie izquierdo,La Liga,10,55,
225,29-11-2011,FC Barcelona,4-0,Rayo Vallecano,4-0,,Pie izquierdo,La Liga,10,50,
224,23-11-2011,AC Milan,2-3,FC Barcelona,1-2,Penal,Pie izquierdo,UEFA Champions League,10,31,https://www.youtube.com/watch?v=vzoSBQrCE_4&pp=ygUbbWVzc2kgZ29hbCB2cyBhYyBtaWxhbiAyMDEx
223,19-11-2011,FC Barcelona,4-0,Real Zaragoza,2-0,,Pie derecho,La Liga,10,43,https://www.youtube.com/watch?v=mH2Kuf29ooY
222,15-11-2011,Colombia,1-2,Argentina,1-1,Rebote,Pie izquierdo,WCQWorld Cup 2014 Qualification,10,60,https://www.youtube.com/watch?v=iki9AOKBk_Q&pp=ygUbbWVzc2kgZ29hbCB2cyBjb2xvbWJpYSAyMDEx
221,06-11-2011,Athletic de Bilbao,2-2,FC Barcelona,2-2,Rebote,Pie izquierdo,La Liga,10,90+1,https://www.youtube.com/watch?v=lgf-77B5eJk&pp=ygUlbWVzc2kgZ29hbCB2cyBhdGxldGljbyBkZSBiaWxiYW8gMjAxMQ%3D%3D
220,01-11-2011,Viktoria Plzen,0-4,FC Barcelona,0-4,,Pie izquierdo,UEFA Champions League,10,90+2,https://www.youtube.com/watch?v=NtCcCnfC6nc&pp=ygUhbWVzc2kgZ29hbCB2cyB2aWt0b3JpYSBwbHplbiAyMDEx
219,01-11-2011,Viktoria Plzen,0-4,FC Barcelona,0-2,,Pie izquierdo,UEFA Champions League,10,45,https://www.youtube.com/watch?v=NtCcCnfC6nc&pp=ygUhbWVzc2kgZ29hbCB2cyB2aWt0b3JpYSBwbHplbiAyMDEx
218,01-11-2011,Viktoria Plzen,0-4,FC Barcelona,0-1,Penal,Pie izquierdo,UEFA Champions League,10,24,https://www.youtube.com/watch?v=NtCcCnfC6nc&pp=ygUhbWVzc2kgZ29hbCB2cyB2aWt0b3JpYSBwbHplbiAyMDEx
217,29-10-2011,FC Barcelona,5-0,Real Mallorca,3-0,,Pie izquierdo,La Liga,10,30,https://www.youtube.com/watch?v=tH-NPDBrg9A&pp=ygUbbWVzc2kgZ29hbCB2cyBtYWxsb3JjYSAyMDEx
216,29-10-2011,FC Barcelona,5-0,Real Mallorca,2-0,,Pie derecho,La Liga,10,21,https://www.youtube.com/watch?v=W-z0ZIQPlWk&pp=ygUbbWVzc2kgZ29hbCB2cyBtYWxsb3JjYSAyMDEx
215,29-10-2011,FC Barcelona,5-0,Real Mallorca,1-0,Penal,Pie izquierdo,La Liga,10,13,https://www.youtube.com/watch?v=hXUzX1CNer4
214,15-10-2011,FC Barcelona,3-0,Racing Santander,3-0,,Pie derecho,La Liga,10,68,https://www.youtube.com/watch?v=H6SzNwYdU7E
213,15-10-2011,FC Barcelona,3-0,Racing Santander,1-0,,Pie derecho,La Liga,10,11,https://www.youtube.com/watch?v=loP94J1TXRs&pp=ygUjbWVzc2kgZ29hbCB2cyByYWNpbmcgc2FudGFuZGVyIDIwMTE%3D
212,08-10-2011,Argentina,4-1,Chile,2-0,Gol de campo,Pie izquierdo,WCQWorld Cup 2014 Qualification,10,26,https://www.youtube.com/watch?v=nSijR9QzQFw
211,28-09-2011,BATE Borisov,0-5,FC Barcelona,0-4,,Pie izquierdo,UEFA Champions League,10,55,https://www.youtube.com/watch?v=RgxW9mo3ZRY
210,28-09-2011,BATE Borisov,0-5,FC Barcelona,0-3,,Cabeza,UEFA Champions League,10,38,https://www.youtube.com/watch?v=RgxW9mo3ZRY
209,24-09-2011,FC Barcelona,5-0,Atlético Madrid,5-0,,Pie izquierdo,La Liga,10,90+1,https://www.youtube.com/watch?v=kMhYVtVNa44
208,24-09-2011,FC Barcelona,5-0,Atlético Madrid,4-0,,Pie izquierdo,La Liga,10,78,https://www.youtube.com/watch?v=y-OhEXQDY1A&pp=ygUibWVzc2kgZ29hbCB2cyBhdGxldGljbyBtYWRyaWQgMjAxMQ%3D%3D
207,24-09-2011,FC Barcelona,5-0,Atlético Madrid,3-0,,Pie izquierdo,La Liga,10,26,https://www.youtube.com/watch?v=OWVHrbxIUAA&pp=ygUibWVzc2kgZ29hbCB2cyBhdGxldGljbyBtYWRyaWQgMjAxMQ%3D%3D
206,17-09-2011,FC Barcelona,8-0,Osasuna,8-0,,Pie izquierdo,La Liga,10,79,https://www.youtube.com/watch?v=7tamXd4U1bI&pp=0gcJCZEKAYcqIYzv
205,17-09-2011,FC Barcelona,8-0,Osasuna,5-0,,Pie izquierdo,La Liga,10,41,https://www.youtube.com/watch?v=kcbg6DwYJTo
204,17-09-2011,FC Barcelona,8-0,Osasuna,1-0,,Pie izquierdo,La Liga,10,5,https://www.youtube.com/watch?v=gH4qIIMuG-E
203,29-08-2011,FC Barcelona,5-0,Villarreal,5-0,,Pie izquierdo,La Liga,10,75,https://www.youtube.com/watch?v=uGkv3WE2Y64
202,29-08-2011,FC Barcelona,5-0,Villarreal,4-0,,Pie derecho,La Liga,10,52,https://www.youtube.com/watch?v=Vuf5phdU6qo
201,26-08-2011,FC Barcelona,2-0,FC Porto,1-0,,Pie izquierdo,IUPUEFA European Super Cup,10,39,https://www.youtube.com/watch?v=oCSamUxhKCY
200,17-08-2011,FC Barcelona,3-2,Real Madrid,3-2,Gol de campo,Pie izquierdo,SUPSpanish Super Cup,10,87,https://www.youtube.com/watch?v=Ib3MyrUxG2U
199,17-08-2011,FC Barcelona,3-2,Real Madrid,2-1,Gol de campo,Pie derecho,SUPSpanish Super Cup,10,45,https://www.youtube.com/watch?v=5m8rkx4BB38&pp=0gcJCZEKAYcqIYzv
198,14-08-2011,Real Madrid,2-2,FC Barcelona,1-2,,Pie izquierdo,SUPSpanish Super Cup,10,45,https://www.youtube.com/watch?v=pvU0lhxdzG8
197,20-06-2011,Argentina,4-0,Albania,2-0,Gol de campo,Pie izquierdo,Amistoso Internacional,10,42,https://www.youtube.com/watch?v=2jQu4rtLT6I
196,28-05-2011,FC Barcelona,3-1,Manchester United,2-1,,Pie izquierdo,UEFA Champions League,10,54,https://www.youtube.com/watch?v=cwRhDi8bKEg
195,27-04-2011,Real Madrid,0-2,FC Barcelona,0-2,Solo run,Pie derecho,UEFA Champions League,10,87,https://www.youtube.com/watch?v=_-NP9F9LFEY
194,27-04-2011,Real Madrid,0-2,FC Barcelona,0-1,Gol de campo,Pie izquierdo,UEFA Champions League,10,76,https://www.youtube.com/watch?v=MHTh9lkhPjk
193,23-04-2011,FC Barcelona,2-0,Osasuna,2-0,,Pie derecho,La Liga,10,87,https://www.youtube.com/watch?v=n5iOD3kz5iw
192,16-04-2011,Real Madrid,1-1,FC Barcelona,0-1,Penal,Pie izquierdo,La Liga,10,53,https://www.youtube.com/watch?v=INSzVWnSg8M
191,12-04-2011,Shakhtar Donetsk,0-1,FC Barcelona,0-1,,Pie izquierdo,UEFA Champions League,10,43,https://www.youtube.com/watch?v=rJvncVccSuM
190,09-04-2011,FC Barcelona,3-1,UD Almería,3-1,,Pie izquierdo,La Liga,10,90+2,https://www.youtube.com/watch?v=c-hSPQGJX9U
189,09-04-2011,FC Barcelona,3-1,UD Almería,1-1,Penal,Pie izquierdo,La Liga,10,53,https://www.youtube.com/watch?v=y7nAN79hop4
188,08-03-2011,FC Barcelona,3-1,Arsenal,3-1,Penal,Pie izquierdo,UEFA Champions League,10,71,https://www.youtube.com/watch?v=Nht5yRESViQ
187,08-03-2011,FC Barcelona,3-1,Arsenal,1-0,Gol de campo,Pie izquierdo,UEFA Champions League,10,45+3,https://www.youtube.com/watch?v=nNvaHaYLwfg
186,02-03-2011,Valencia,0-1,FC Barcelona,0-1,,Pie izquierdo,La Liga,10,77,https://www.youtube.com/watch?v=mFraHKwG-Qo
185,26-02-2011,Real Mallorca,0-3,FC Barcelona,0-1,,Cabeza,La Liga,10,38,https://www.youtube.com/watch?v=BKzYtF731pI
184,20-02-2011,FC Barcelona,2-1,Athletic de Bilbao,2-1,,Pie derecho,La Liga,10,78,https://www.youtube.com/watch?v=IGSdoifMyi8
183,09-02-2011,Argentina,2-1,Portugal,2-1,Penal,Pie izquierdo,Amistoso Internacional,10,90,https://www.youtube.com/watch?v=8crUmVM9C5E&pp=0gcJCZEKAYcqIYzv
182,05-02-2011,FC Barcelona,3-0,Atlético Madrid,3-0,Rebote,Pie izquierdo,La Liga,10,79,https://www.youtube.com/watch?v=qlpXIZxBKNU
181,05-02-2011,FC Barcelona,3-0,Atlético Madrid,2-0,,Pie izquierdo,La Liga,10,28,https://www.youtube.com/watch?v=ssx-Ekzz9hk
180,05-02-2011,FC Barcelona,3-0,Atlético Madrid,1-0,,Pie izquierdo,La Liga,10,17,https://www.youtube.com/watch?v=G7dHgbf4bDY
179,29-01-2011,Hercules Alicante,0-3,FC Barcelona,0-3,,Pie izquierdo,La Liga,10,89,https://www.youtube.com/watch?v=egJAHY_AhTg
178,29-01-2011,Hercules Alicante,0-3,FC Barcelona,0-2,,Pie izquierdo,La Liga,10,87,https://www.youtube.com/watch?v=vN_Bkcspi74
177,26-01-2011,FC Barcelona,5-0,UD Almería,3-0,,Pie izquierdo,Copa del Rey,10,16,https://www.youtube.com/watch?v=trwDFrEPN0s&pp=0gcJCZEKAYcqIYzv
176,26-01-2011,FC Barcelona,5-0,UD Almería,1-0,,Pie izquierdo,Copa del Rey,10,9,https://www.youtube.com/watch?v=Be7Bhj5dN-g
175,22-01-2011,FC Barcelona,3-0,Racing Santander,2-0,Penal,Pie izquierdo,La Liga,10,33,https://www.youtube.com/watch?v=zvlqeSmx2rM
174,19-01-2011,Real Betis,3-1,FC Barcelona,2-1,,Pie izquierdo,Copa del Rey,10,38,https://www.youtube.com/watch?v=Prfh6-a1c2w
173,12-01-2011,FC Barcelona,5-0,Real Betis,3-0,,Pie izquierdo,Copa del Rey,10,73,https://www.youtube.com/watch?v=g8FLc9OczSI
172,12-01-2011,FC Barcelona,5-0,Real Betis,2-0,Rebote,Pie izquierdo,Copa del Rey,10,62,https://www.youtube.com/watch?v=-8XTM2fWrbU
171,12-01-2011,FC Barcelona,5-0,Real Betis,1-0,,Pie izquierdo,Copa del Rey,10,44,https://www.youtube.com/watch?v=o_Ir03dG-mk
170,08-01-2011,Deportivo La Coruña,0-4,FC Barcelona,0-2,Tiro libre,Pie izquierdo,La Liga,10,52,https://www.youtube.com/watch?v=o_Ir03dG-mk
169,12-12-2010,FC Barcelona,5-0,Real Sociedad,4-0,Solo run,Pie izquierdo,La Liga,10,87,https://www.youtube.com/watch?v=l14MRa8jUdI
168,12-12-2010,FC Barcelona,5-0,Real Sociedad,3-0,,Pie izquierdo,La Liga,10,47,https://www.youtube.com/watch?v=Jo_mOYJ7B9Y
167,04-12-2010,Osasuna,0-3,FC Barcelona,0-3,Penal,Pie izquierdo,La Liga,10,83,https://www.youtube.com/watch?v=eKTuBHCuccY
166,04-12-2010,Osasuna,0-3,FC Barcelona,0-2,,Pie izquierdo,La Liga,10,65,https://www.youtube.com/watch?v=u1sjAGoKsVM
165,24-11-2010,Panathinaikos,0-3,FC Barcelona,0-2,,Pie izquierdo,UEFA Champions League,10,62,https://www.youtube.com/watch?v=i6yrRJaQERk&pp=0gcJCZEKAYcqIYzv
164,20-11-2010,UD Almería,0-8,FC Barcelona,0-7,Rebote,Pie izquierdo,La Liga,10,67,https://www.youtube.com/watch?v=HDK2Ko3Lpzg
163,20-11-2010,UD Almería,0-8,FC Barcelona,0-5,Rebote,Pie izquierdo,La Liga,10,37,https://www.youtube.com/watch?v=bzPpZWgPFrI&pp=0gcJCZEKAYcqIYzv
162,20-11-2010,UD Almería,0-8,FC Barcelona,0-1,Gol de campo,Pie izquierdo,La Liga,10,17,https://www.youtube.com/watch?v=9RnCI4t11VA
161,17-11-2010,Argentina,1-0,Brazil,1-0,Solo run,Pie izquierdo,Amistoso Internacional,10,90+2,https://www.youtube.com/watch?v=-MCuYx0NTx0
160,13-11-2010,FC Barcelona,3-1,Villarreal,3-1,,Pie izquierdo,La Liga,10,83,https://www.youtube.com/watch?v=iNODiOkgcHE
159,13-11-2010,FC Barcelona,3-1,Villarreal,2-1,,Pie derecho,La Liga,10,58,https://www.youtube.com/watch?v=8CMUoxjBD3s
158,10-11-2010,FC Barcelona,5-1,AD Ceuta,5-1,,Pie izquierdo,Copa del Rey,10,68,https://www.youtube.com/watch?v=MMucV5l89xY
157,07-11-2010,Getafe,1-3,FC Barcelona,0-1,,Pie izquierdo,La Liga,10,23,https://www.youtube.com/watch?v=ixiASnTIQvA
156,02-11-2010,FC Copenhagen,1-1,FC Barcelona,0-1,,Pie derecho,UEFA Champions League,10,31,https://www.youtube.com/watch?v=TBe3rHwQj9c&pp=0gcJCZEKAYcqIYzv
155,30-10-2010,FC Barcelona,5-0,Sevilla,4-0,Solo run,Pie izquierdo,La Liga,10,64,https://www.youtube.com/watch?v=NfLXYYj5R9M
154,30-10-2010,FC Barcelona,5-0,Sevilla,1-0,Rebote,Pie izquierdo,La Liga,10,4,https://www.youtube.com/watch?v=4oXU2pKD6t8
153,23-10-2010,Real Zaragoza,0-2,FC Barcelona,0-2,,Pie izquierdo,La Liga,10,66,https://www.youtube.com/watch?v=PfaC-qT2jiM
152,23-10-2010,Real Zaragoza,0-2,FC Barcelona,0-1,,Pie izquierdo,La Liga,10,42,https://www.youtube.com/watch?v=6j4QmvepBoM
151,20-10-2010,FC Barcelona,2-0,FC Copenhagen,2-0,,Pie izquierdo,UEFA Champions League,10,90+2,https://www.youtube.com/watch?v=gcjoPkTeh7w
150,20-10-2010,FC Barcelona,2-0,FC Copenhagen,1-0,,Pie izquierdo,UEFA Champions League,10,19,https://www.youtube.com/watch?v=0FE--OE3mTE&pp=0gcJCZEKAYcqIYzv
149,03-10-2010,FC Barcelona,1-1,Real Mallorca,1-0,,Pie izquierdo,La Liga,10,21,https://www.youtube.com/watch?v=VIp2xlbuP6g
148,19-09-2010,Atlético Madrid,1-2,FC Barcelona,0-1,,Pie izquierdo,La Liga,10,13,https://www.youtube.com/watch?v=-UQJR8S2_7E
147,14-09-2010,FC Barcelona,5-1,Panathinaikos,3-1,Gol de campo,Pie izquierdo,UEFA Champions League,10,45,https://www.youtube.com/watch?v=Hxg_mwd6aKs
146,14-09-2010,FC Barcelona,5-1,Panathinaikos,1-1,Gol de campo,Pie izquierdo,UEFA Champions League,10,22,https://www.youtube.com/watch?v=DiC0RQAvk_8
145,07-09-2010,Argentina,4-1,Spain,1-0,Gol de campo,Pie izquierdo,Amistoso Internacional,10,10,https://www.youtube.com/watch?v=wPTsTWN078k
144,29-08-2010,Racing Santander,0-3,FC Barcelona,0-1,,Pie derecho,La Liga,10,3,https://www.youtube.com/watch?v=5rbQ6tppvdk
143,21-08-2010,FC Barcelona,4-0,Sevilla,4-0,,Pie izquierdo,SUPSpanish Super Cup,10,90,https://www.youtube.com/watch?v=eXKe30lEAxc
142,21-08-2010,FC Barcelona,4-0,Sevilla,3-0,,Pie derecho,SUPSpanish Super Cup,10,43,https://www.youtube.com/watch?v=Xn5d_l_PRMo
141,21-08-2010,FC Barcelona,4-0,Sevilla,2-0,,Pie izquierdo,SUPSpanish Super Cup,10,24,https://www.youtube.com/watch?v=dwsa8YktuqQ
140,16-05-2010,FC Barcelona,4-0,Real Valladolid,4-0,,Pie izquierdo,La Liga,10,76,https://www.youtube.com/watch?v=9u3gAe3KK5Q
139,16-05-2010,FC Barcelona,4-0,Real Valladolid,3-0,,Pie derecho,La Liga,10,62,https://www.youtube.com/watch?v=80roljJ-hs8
138,08-05-2010,Sevilla,2-3,FC Barcelona,0-1,,Pie izquierdo,La Liga,10,5,https://www.youtube.com/watch?v=THnk6O92YYg
137,04-05-2010,FC Barcelona,4-1,Tenerife,4-1,,Pie derecho,La Liga,10,90+3,https://www.youtube.com/watch?v=-ZyiILfohsQ
136,04-05-2010,FC Barcelona,4-1,Tenerife,1-0,,Pie derecho,La Liga,10,17,https://www.youtube.com/watch?v=Zj5Xk09uLDI&pp=0gcJCZEKAYcqIYzv
135,01-05-2010,Villarreal,1-4,FC Barcelona,1-4,,Pie izquierdo,La Liga,10,88,https://www.youtube.com/watch?v=eU9o3tqL2mI
134,01-05-2010,Villarreal,1-4,FC Barcelona,0-1,,Pie izquierdo,La Liga,10,19,https://www.youtube.com/watch?v=jf4xpKFuVY8
133,10-04-2010,Real Madrid,0-2,FC Barcelona,0-1,,Pie derecho,La Liga,10,33,https://www.youtube.com/watch?v=Gr_LnwVC5LA
132,06-04-2010,FC Barcelona,4-1,Arsenal,4-1,Rebote,Pie izquierdo,UEFA Champions League,10,88,https://www.youtube.com/watch?v=_uBu7lOuD5g&pp=0gcJCZEKAYcqIYzv
131,06-04-2010,FC Barcelona,4-1,Arsenal,3-1,,Pie izquierdo,UEFA Champions League,10,42,https://www.youtube.com/watch?v=YVqewztNVKA
130,06-04-2010,FC Barcelona,4-1,Arsenal,2-1,,Pie derecho,UEFA Champions League,10,37,https://www.youtube.com/watch?v=WVcPecYrN2Y
129,06-04-2010,FC Barcelona,4-1,Arsenal,1-1,,Pie izquierdo,UEFA Champions League,10,21,https://www.youtube.com/watch?v=S-X20zs5Ufk
128,03-04-2010,FC Barcelona,4-1,Athletic de Bilbao,4-0,,Pie izquierdo,La Liga,10,67,https://www.youtube.com/watch?v=l-8xNOGd0jo
127,21-03-2010,Real Zaragoza,2-4,FC Barcelona,0-3,,Pie izquierdo,La Liga,10,78,https://www.youtube.com/watch?v=X7LSNkwXlKk
126,21-03-2010,Real Zaragoza,2-4,FC Barcelona,0-2,Solo run,Pie izquierdo,La Liga,10,66,https://www.youtube.com/watch?v=h098qMRXROc
125,21-03-2010,Real Zaragoza,2-4,FC Barcelona,0-1,,Cabeza,La Liga,10,5,https://www.youtube.com/watch?v=3qyEI3vFLBI
124,17-03-2010,FC Barcelona,4-0,VfB Stuttgart,3-0,,Pie izquierdo,UEFA Champions League,10,60,https://www.youtube.com/watch?v=E1Atsv0bUJk
123,17-03-2010,FC Barcelona,4-0,VfB Stuttgart,1-0,Solo run,Pie izquierdo,UEFA Champions League,10,13,https://www.youtube.com/watch?v=0pIcFbEX7jw
122,14-03-2010,FC Barcelona,3-0,Valencia,3-0,,Pie derecho,La Liga,10,83,https://www.youtube.com/watch?v=E-Q5S6VsORE
121,14-03-2010,FC Barcelona,3-0,Valencia,2-0,,Pie izquierdo,La Liga,10,81,https://www.youtube.com/watch?v=SbpiZaGGorw
120,14-03-2010,FC Barcelona,3-0,Valencia,1-0,,Pie izquierdo,La Liga,10,56,https://www.youtube.com/watch?v=9XTT4I7O83E
119,06-03-2010,UD Almería,2-2,FC Barcelona,2-2,,Pie izquierdo,La Liga,10,66,https://www.youtube.com/watch?v=QKkYgWRTh_8
118,06-03-2010,UD Almería,2-2,FC Barcelona,1-1,Tiro libre,Pie izquierdo,La Liga,10,42,https://www.youtube.com/watch?v=AcwxdNR0BzU
117,27-02-2010,FC Barcelona,2-1,Málaga,2-1,Gol de campo,Pie derecho,La Liga,10,84,https://www.youtube.com/watch?v=EWepXgHRXxs
116,06-02-2010,FC Barcelona,2-1,Getafe,1-0,,Pie izquierdo,La Liga,10,7,https://www.youtube.com/watch?v=cjGTmh5I0uA
115,23-01-2010,Real Valladolid,0-3,FC Barcelona,0-3,,Pie izquierdo,La Liga,10,56,https://www.youtube.com/watch?v=LCC-I8R1CVM
114,16-01-2010,FC Barcelona,4-0,Sevilla,4-0,,Pie izquierdo,La Liga,10,90+1,https://www.youtube.com/watch?v=INV2A9hmT3A
113,16-01-2010,FC Barcelona,4-0,Sevilla,3-0,,Pie izquierdo,La Liga,10,85,https://www.youtube.com/watch?v=Q_Gp3OCeAc4
112,10-01-2010,Tenerife,0-5,FC Barcelona,0-4,,Pie izquierdo,La Liga,10,75,https://www.youtube.com/watch?v=Up1xrjQ0yTA
111,10-01-2010,Tenerife,0-5,FC Barcelona,0-3,,Pie derecho,La Liga,10,45,https://www.youtube.com/watch?v=srD45E_B3-4
110,10-01-2010,Tenerife,0-5,FC Barcelona,0-1,,Pie izquierdo,La Liga,10,36,https://www.youtube.com/watch?v=qLD6hUnRa1A
109,19-12-2009,Estudiantes La Plata,1-2,FC Barcelona,1-2,,Pecho,WCTFIFA Club World Cup,10,110,https://www.youtube.com/watch?v=TlWUrsWYZGs
108,16-12-2009,Atlante,1-3,FC Barcelona,1-2,,Pie izquierdo,WCTFIFA Club World Cup,10,55,https://www.youtube.com/watch?v=8r4yzSxwQcs
107,09-12-2009,Dynamo Kyiv,1-2,FC Barcelona,1-2,Tiro libre,Pie izquierdo,UEFA Champions League,10,86,https://www.youtube.com/watch?v=vXTYZoUsPTk
106,05-12-2009,Deportivo La Coruña,1-3,FC Barcelona,1-2,,Cabeza,La Liga,10,80,https://www.youtube.com/watch?v=7j0O9WsNj6s
105,05-12-2009,Deportivo La Coruña,1-3,FC Barcelona,0-1,,Pie izquierdo,La Liga,10,27,https://www.youtube.com/watch?v=IncCK2QZmn8&pp=0gcJCZEKAYcqIYzv
104,14-11-2009,Spain,2-1,Argentina,1-1,Penal,Pie izquierdo,Amistoso Internacional,10,61,https://www.youtube.com/watch?v=Jzjl4iVZ7r8
103,10-11-2009,FC Barcelona,5-0,Cultural Leonesa,4-0,,Pie izquierdo,Copa del Rey,10,64,https://www.youtube.com/watch?v=JLaxixrNgm0
102,07-11-2009,FC Barcelona,4-2,Real Mallorca,4-1,Penal,Pie izquierdo,La Liga,10,87,https://www.youtube.com/watch?v=UT7dUYpWaFQ
101,25-10-2009,FC Barcelona,6-1,Real Zaragoza,5-1,Gol de campo,Pie izquierdo,La Liga,10,80,https://www.youtube.com/watch?v=4x6QgTDfOcs
100,29-09-2009,FC Barcelona,2-0,Dynamo Kyiv,1-0,,Pie izquierdo,UEFA Champions League,10,26,
99,22-09-2009,Racing Santander,1-4,FC Barcelona,0-4,,Pie izquierdo,La Liga,10,63,https://www.youtube.com/watch?v=KbonP_4Wpxc
98,22-09-2009,Racing Santander,1-4,FC Barcelona,0-2,,Pie izquierdo,La Liga,10,24,https://www.youtube.com/watch?v=XHNdV0fXBbM
97,19-09-2009,FC Barcelona,5-2,Atlético Madrid,5-2,,Pie derecho,La Liga,10,90+4,
96,19-09-2009,FC Barcelona,5-2,Atlético Madrid,2-0,,Pie izquierdo,La Liga,10,16,https://www.youtube.com/watch?v=PDdNTAdskuU
95,12-09-2009,Getafe,0-2,FC Barcelona,0-2,,Cabeza,La Liga,10,80,https://www.youtube.com/watch?v=oC2q4q_DxJM&pp=0gcJCZEKAYcqIYzv
94,23-08-2009,FC Barcelona,3-0,Athletic de Bilbao,2-0,Penal,Pie izquierdo,SUPSpanish Super Cup,10,68,https://www.youtube.com/watch?v=8x7k1VwHrYc
93,23-08-2009,FC Barcelona,3-0,Athletic de Bilbao,1-0,,Pie derecho,SUPSpanish Super Cup,10,50,https://www.youtube.com/watch?v=SAJH723KmrA
92,27-05-2009,FC Barcelona,2-0,Manchester United,2-0,,Cabeza,UEFA Champions League,10,70,
91,13-05-2009,Athletic de Bilbao,1-4,FC Barcelona,1-2,,Pie izquierdo,Copa del Rey,10,55,https://www.youtube.com/watch?v=HjZTDY-B0qs
90,02-05-2009,Real Madrid,2-6,FC Barcelona,2-5,,Pie izquierdo,La Liga,10,75,https://www.youtube.com/watch?v=lOdjbjBL5CA&pp=0gcJCZEKAYcqIYzv
89,02-05-2009,Real Madrid,2-6,FC Barcelona,1-3,,Pie izquierdo,La Liga,10,36,https://www.youtube.com/watch?v=FrpaimRMOE4
88,25-04-2009,Valencia,2-2,FC Barcelona,0-1,,Pie izquierdo,La Liga,10,24,https://www.youtube.com/watch?v=68817wPF4EY&pp=0gcJCZEKAYcqIYzv
87,18-04-2009,Getafe,0-1,FC Barcelona,0-1,,Pie izquierdo,La Liga,10,19,https://www.youtube.com/watch?v=0Y8vEedUtdc
